document|cite
https://d-nb.info/953963667|Semantic Interoperability - Context, Issues and Research Directions._1994
https://www.grin.com/document/342295|https://doi.org/10.1109/COOPIS.1997.613813
https://d-nb.info/1028143168|https://doi.org/10.1007/978-0-387-71001-3
https://d-nb.info/1096344599|https://doi.org/10.1007/978-0-387-39940-9_421
https://d-nb.info/1096344599|https://doi.org/10.1007/978-0-387-39940-9_422
https://d-nb.info/920167926|https://doi.org/10.1007/978-3-642-51137-0
https://d-nb.info/949388432|https://d-nb.info/931740096
https://d-nb.info/881459763|https://doi.org/10.1007/978-3-642-72941-6
https://d-nb.info/1196226806|https://doi.org/10.1109/NOTERE.2015.7293513
https://d-nb.info/1196226806|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.534739
https://d-nb.info/1196226806|http://studia.complexica.net/index.php?option=com_content&view=article&id=132
https://d-nb.info/958035903|http://biaa.eu/-upload/BIAA48.pdf
https://d-nb.info/958035903|https://doi.org/10.1007/3-540-56734-8
https://d-nb.info/1198243554|Towards Persistent Object Systems for Desktop Computing._1994
https://d-nb.info/1198243554|https://d-nb.info/987676849
https://d-nb.info/1198243554|https://doi.org/10.1007/978-3-662-49214-7_4
https://d-nb.info/94988653X|https://doi.org/10.1007/978-3-642-69023-5
https://d-nb.info/1195724608|https://doi.org/10.1007/978-1-4614-8265-9_1013
https://d-nb.info/930101758|https://d-nb.info/870212508
https://d-nb.info/1058886541|https://doi.org/10.1007/978-0-387-39940-9_1047
https://d-nb.info/952799111|https://doi.org/10.1007/3-540-48661-5
https://d-nb.info/1065957440|https://doi.org/10.1007/BFb0017665
https://d-nb.info/1065957440|https://doi.org/10.1007/978-0-387-39940-9_1222
https://d-nb.info/1195796420|https://doi.org/10.1007/978-3-319-33020-4
https://d-nb.info/94681256X|Control of Collaboration within Intelligent and Cooperative Information Systems._1994
https://d-nb.info/109158480X|https://doi.org/10.1007/978-3-540-30468-5_29
http://edoc.hu-berlin.de/18452/23979|https://doi.org/10.1007/978-0-387-39940-9_178
http://edoc.hu-berlin.de/18452/23979|https://doi.org/10.1007/978-0-387-39940-9_673
http://edoc.hu-berlin.de/18452/23979|https://doi.org/10.1007/978-3-642-23740-9_2
https://d-nb.info/1174693118|https://doi.org/10.1109/NOTERE.2015.7293476
https://d-nb.info/1174693118|https://doi.org/10.1007/978-3-662-43505-2_21
https://d-nb.info/1174693118|https://doi.org/10.1007/978-3-319-07124-4_53
https://nbn-resolving.org/urn:nbn:de:gbv:7-11858/00-1735-0000-002E-E446-7-5|https://d-nb.info/991301455
https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-110119|https://doi.org/10.1145/3342428.3342689
https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-110119|http://biaa.eu/-upload/vouzzano99.pdf
https://d-nb.info/1192467817|https://doi.org/10.1007/978-1-4614-8265-9_1489
https://d-nb.info/1192467817|https://doi.org/10.1007/978-1-4614-8806-4_10
https://d-nb.info/1192467817|https://doi.org/10.1007/978-1-4614-8806-4_33
https://d-nb.info/945389159|https://doi.org/10.1007/3-540-58355-6
https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.747982|https://doi.org/10.1007/978-3-642-03722-1_4
https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.747982|https://doi.org/10.1007/978-0-387-39940-9_839
https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.269999|https://doi.org/10.1007/978-3-642-84002-9
https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.269999|https://d-nb.info/956598889
http://eprints.lancs.ac.uk/11680/|http://biaa.eu/-upload/BIAA12.pdf
https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.534739|A Generic Framework for Human Computer Cooperation._1993
https://tel.archives-ouvertes.fr/tel-00691915|Learning Agents for Cooperative Hyperinformation Systems._1993
https://tel.archives-ouvertes.fr/tel-00004920|https://doi.org/10.1007/3-540-54972-2
https://d-nb.info/986313769|https://doi.org/10.1007/3-540-36124-3_45
https://d-nb.info/985915951|https://doi.org/10.1007/978-3-540-30468-5_36
https://d-nb.info/988799375|https://doi.org/10.1007/10722620_30
http://www.bod.de/index.php?id=296&objk_id=194569|https://doi.org/10.1007/978-3-540-30468-5_24
https://d-nb.info/993395414|http://biaa.eu/-upload/BIAA26.pdf
http://www.bod.de/index.php?id=296&objk_id=228746|https://d-nb.info/972000216
https://d-nb.info/987814362|https://doi.org/10.1109/COOPIS.1997.613804
https://d-nb.info/985518715|A Planning Algorithm for Distributed Manufacturing._1993
https://d-nb.info/987676849|https://doi.org/10.1007/3-540-46440-9
https://d-nb.info/985425121|https://doi.org/10.1007/b100371
https://d-nb.info/990301346|http://studia.complexica.net/index.php?option=com_content&view=article&id=68
http://scidok.sulb.uni-saarland.de/volltexte/2005/463/index.html|Cooperative Query Answering Using Multiple Layered Databases._1994
https://d-nb.info/991258614|https://doi.org/10.1007/978-3-662-10876-5
https://d-nb.info/991258614|https://doi.org/10.1109/COOPIS.1999.792178
https://d-nb.info/985692642|CODA - A GROUPBASE-System for Cooperative Design Applications._1993
https://d-nb.info/985692642|https://doi.org/10.1007/978-3-540-39964-3_51
https://d-nb.info/969493525|https://d-nb.info/920293549
https://d-nb.info/969493525|https://doi.org/10.1007/3-540-70735-2
https://d-nb.info/995466882|https://doi.org/10.1007/978-3-540-38885-2
https://d-nb.info/98204772X|https://doi.org/10.1007/3-540-36124-3_38
https://d-nb.info/98204772X|https://doi.org/10.1007/978-3-642-69294-9
https://d-nb.info/989975797|Modelling the Real World by Multi-World Data Model._1993
https://d-nb.info/986312657|https://doi.org/10.1007/978-3-642-74414-3
https://d-nb.info/1007091916|http://biaa.eu/-upload/BIAA33.pdf
https://d-nb.info/1007091916|https://doi.org/10.1007/978-3-540-39964-3_57
https://d-nb.info/988796554|https://doi.org/10.1007/978-3-540-39964-3_71
https://d-nb.info/98665101X|http://biaa.eu/-upload/BIAA51.pdf
https://d-nb.info/988829878|https://doi.org/10.1007/3-540-36124-3_9
https://doi.org/10.1007/978-3-662-43505-2_76|https://doi.org/10.1007/3-540-36124-3_83
https://doi.org/10.1007/978-1-4939-2092-1_45|https://doi.org/10.1007/978-3-540-30469-2_42
https://doi.org/10.1007/978-1-4939-2092-1_43|https://doi.org/10.1007/978-1-4614-8806-4_20
https://doi.org/10.1007/978-1-4614-8806-4_65|https://doi.org/10.1007/3-540-36124-3_3
https://doi.org/10.1007/978-3-662-43505-2_26|https://doi.org/10.1007/978-0-387-39940-9_310
https://doi.org/10.1007/978-1-4939-0790-8_27|https://doi.org/10.1109/NOTERE.2010.5536838
https://doi.org/10.1007/978-1-4614-8806-4_15|https://doi.org/10.1007/978-3-540-39964-3_42
https://doi.org/10.1007/978-1-4614-8806-4_15|https://doi.org/10.1145/1416729.1416746
https://doi.org/10.1007/978-3-662-43505-2_53|Elements of distributed algorithms: modeling and analysis with Petri nets_1998
https://doi.org/10.1007/978-3-540-92913-0_22|http://studia.complexica.net/index.php?option=com_content&view=article&id=119
https://doi.org/10.1007/978-3-662-43505-2_23|Notion de machine d'après Edmond Bianco._2012
https://doi.org/10.1007/978-3-540-92913-0_9|http://biaa.eu/-upload/editono72.pdf
https://doi.org/10.1007/978-3-540-92913-0_9|https://doi.org/10.1007/b95170
https://doi.org/10.1007/978-3-319-98161-1_12|https://doi.org/10.1145/1416729.1416761
https://doi.org/10.1007/978-3-319-98161-1_12|https://doi.org/10.1007/978-3-319-61949-1_23
https://doi.org/10.1007/978-3-319-98161-1_12|https://doi.org/10.1007/978-3-7908-1870-3
https://doi.org/10.1007/978-3-319-07124-4_7|https://doi.org/10.1007/978-3-540-39964-3_61
https://doi.org/10.1007/978-3-662-43505-2_29|https://doi.org/10.1007/978-3-540-30468-5_37
https://doi.org/10.1007/978-1-4614-8806-4_16|https://doi.org/10.1007/978-0-387-39940-9_421
https://doi.org/10.1007/978-1-4939-2092-1_27|https://doi.org/10.1145/1416729.1416771
https://doi.org/10.1007/978-3-319-95504-9_12|https://doi.org/10.1007/978-3-662-49534-6_3
https://doi.org/10.1007/978-3-319-95504-9_12|https://doi.org/10.1007/978-3-662-55696-2_2
https://doi.org/10.1007/978-1-4614-8806-4_44|https://doi.org/10.1109/COOPIS.1996.555010
https://doi.org/10.1007/978-1-4939-2092-1_37|https://doi.org/10.1007/978-3-540-69094-8
https://doi.org/10.1007/978-1-4939-2092-1_37|https://doi.org/10.1109/COOPIS.1999.792180
https://doi.org/10.1007/978-1-4939-2092-1_32|http://studia.complexica.net/index.php?option=com_content&view=article&id=58
https://doi.org/10.1007/978-1-4899-7637-6_4|https://doi.org/10.1007/978-1-4614-8806-4_6
https://doi.org/10.1007/978-1-4899-7637-6_25|https://doi.org/10.1007/978-3-540-30469-2_47
https://doi.org/10.1007/978-1-4899-7637-6_25|https://d-nb.info/99128027X
https://doi.org/10.1007/978-3-319-95504-9_17|https://doi.org/10.1007/978-0-387-39940-9_9
https://doi.org/10.1007/978-3-319-95504-9_17|https://doi.org/10.1007/b97475
https://doi.org/10.1007/978-3-319-95504-9_17|http://biaa.eu/-upload/BIAA62.pdf
https://doi.org/10.1007/978-3-319-07124-4_4|http://biaa.eu/-upload/jmkno81.pdf
https://doi.org/10.1007/978-3-319-07124-4_4|https://doi.org/10.1109/NOTERE.2011.5957980
https://doi.org/10.1007/978-1-4939-2092-1_23|Cooperating Transactions in a Versioned Database._1993
https://doi.org/10.1007/978-1-4939-2092-1_23|https://doi.org/10.1109/COOPIS.1999.792176
https://doi.org/10.1007/978-3-319-95504-9_16|http://biaa.eu/-upload/editono104.pdf
https://doi.org/10.1007/978-1-4899-7637-6_17|https://doi.org/10.1504/IJTMCC.2014.067304
https://doi.org/10.1007/978-1-4614-8806-4_77|https://doi.org/10.1007/978-0-387-39940-9_451
https://doi.org/10.1007/978-1-4614-8806-4_23|Next Generation Workflow: Promises and Problems (Keynote)._1995
https://doi.org/10.1007/978-1-4939-2092-1_28|http://studia.complexica.net/index.php?option=com_content&view=article&id=93
https://doi.org/10.1007/978-1-4939-2092-1_28|https://doi.org/10.1007/978-1-4612-0711-5
https://doi.org/10.1007/978-1-4939-2092-1_28|https://doi.org/10.1007/978-3-662-44949-3
https://doi.org/10.1007/978-3-662-43505-2_41|https://doi.org/10.1007/978-3-319-14240-1
https://doi.org/10.1007/978-1-4899-7637-6_26|A Negotiation Protocol for Conflict Resolution in Multi-Agent Environments._1993
https://doi.org/10.1007/978-3-319-95504-9_9|https://doi.org/10.1007/978-0-387-39940-9_73
https://doi.org/10.1007/978-1-4614-8806-4_13|https://doi.org/10.1007/b11963
https://doi.org/10.1007/978-1-4614-8806-4_13|https://doi.org/10.1007/BFb0039640
https://doi.org/10.1007/978-1-4939-2092-1_21|https://doi.org/10.1007/978-0-387-39940-9_432
https://doi.org/10.1007/978-1-4614-8806-4_39|http://biaa.eu/-upload/BIAA09.pdf
https://doi.org/10.1007/978-1-4614-8806-4_39|https://doi.org/10.1007/978-3-642-28148-8_5
https://doi.org/10.1007/978-3-319-07124-4_22|https://doi.org/10.1007/978-1-4614-8806-4_62
https://doi.org/10.1007/978-3-662-43505-2_77|https://d-nb.info/961539585
https://doi.org/10.1007/978-1-4939-0790-8_41|Hommage à Edmond Bianco: De la machine universelle au traitement automatique du langage naturel._2012
https://doi.org/10.1007/978-1-4939-0790-8_41|https://doi.org/10.1007/978-0-387-39940-9_1210
