editor|doi
Gilles Guette|https://doi.org/10.1007/978-3-030-25734-7
Gilles Guette|https://doi.org/10.1145/3284869.3284887
Gilles Guette|https://doi.org/10.1007/978-3-662-55696-2_4
Gilles Guette|https://doi.org/10.1007/978-3-662-62386-2_5
Renaud Pacalet|https://doi.org/10.1007/BFb0024065
Renaud Pacalet|https://doi.org/10.1007/978-3-319-99414-7
Hak-Keung Lam|https://doi.org/10.1007/978-3-030-79701-0
Hak-Keung Lam|https://doi.org/10.1007/978-0-387-39940-9_321
Sebastian J. F. Fudickar|https://doi.org/10.1007/978-1-4614-8265-9_80719
Cristiana Amza|http://studia.complexica.net/index.php?option=com_content&view=article&id=255%3Aalgotch-the-virtual-teacher-within-algopath-pp-47-73&catid=65%3Anumber-1-&Itemid=112
Cristiana Amza|https://doi.org/10.1007/10722620_14
Cristiana Amza|https://doi.org/10.1109/COOPIS.1998.706226
Cristiana Amza|https://doi.org/10.1007/978-3-662-62919-2_8
Cristiana Amza|https://doi.org/10.1007/978-1-4614-8265-9_231
Afshan Nourizadeh|https://doi.org/10.1007/3-540-36124-3_46
Afshan Nourizadeh|https://doi.org/10.1007/3-540-44751-2_32
Willem-Jan van den Heuvel|https://doi.org/10.1007/978-3-540-39964-3_63
Arthur Foltz|https://doi.org/10.1007/978-0-387-39940-9_536
Arthur Foltz|https://doi.org/10.1007/978-3-662-58415-6_3
Luis M. Camarinha-Matos|https://doi.org/10.1007/978-3-642-16175-9_1
Luis M. Camarinha-Matos|https://doi.org/10.1145/3284869.3284907
Sebastian Görg|http://studia.complexica.net/index.php?option=com_content&view=article&id=84
Sebastian Görg|https://doi.org/10.1007/978-1-4614-8265-9_602
Sebastian Görg|https://doi.org/10.1007/978-3-319-30973-6
Sebastian Görg|https://doi.org/10.1007/978-0-387-39940-9_823
Dominique Borrione|https://doi.org/10.1007/978-3-642-23740-9_8
Dominique Borrione|https://doi.org/10.1145/3411170.3411271
Dominique Borrione|https://doi.org/10.1007/978-3-030-39482-0
Dominique Borrione|https://doi.org/10.1007/978-3-642-39323-5
Dominique Borrione|https://doi.org/10.1007/978-3-658-11039-0
Stefan Gudenkauf|https://doi.org/10.1007/978-0-387-39940-9_130
Noura Faci|https://doi.org/10.1007/978-3-662-63519-3_4
Alexander Schill|http://studia.complexica.net/index.php?option=com_content&view=article&id=209%3Avolterra-equations-of-the-first-kind-with-discontinuous-kernels-in-the-theory-of-evolving-systems-control-pp-135-146
Alexander Schill|https://doi.org/10.1016/j.eswax.2019.100007
Françoise Fabret|https://doi.org/10.1007/978-3-030-83371-8
Françoise Fabret|https://doi.org/10.1007/978-981-32-9796-8
Françoise Fabret|https://doi.org/10.1007/978-0-387-39940-9_1226
Françoise Fabret|https://doi.org/10.1007/3-540-45921-9
Wei Ren 0001|https://doi.org/10.1109/AGILE.2006.39
Wei Ren 0001|https://doi.org/10.1007/978-3-642-37574-3_7
Wei Ren 0001|https://doi.org/10.1109/NOTERE.2011.5957980
Wei Ren 0001|https://doi.org/10.1504/IJTMCC.2018.095621
Yoshiaki Sugiyama|https://doi.org/10.1007/978-3-319-95504-9_2
Yoshiaki Sugiyama|https://doi.org/10.1007/3-540-55798-9
Yoshiaki Sugiyama|https://doi.org/10.1007/3-540-44751-2_10
Yoshiaki Sugiyama|https://doi.org/10.1007/978-1-4612-4922-1
Moulay Driss Mechaoui|http://studia.complexica.net/index.php?option=com_content&view=article&id=99
Moulay Driss Mechaoui|https://doi.org/10.1007/978-3-662-54054-1_5
Moulay Driss Mechaoui|https://doi.org/10.1007/b116723
Werner Emde|https://doi.org/10.1007/978-3-662-47804-2_5
Werner Emde|https://doi.org/10.1007/978-1-4614-8265-9_1424
Werner Emde|https://doi.org/10.1007/978-3-662-43839-8
Werner Emde|https://doi.org/10.1007/978-0-387-39940-9_550
Werner Emde|https://doi.org/10.1007/978-3-030-95284-6
Geoffrey Simmons|https://doi.org/10.1007/978-3-662-60531-8_5
Benjamin Venelle|https://doi.org/10.1007/3-540-44751-2_2
Benjamin Venelle|https://doi.org/10.1109/COOPIS.1996.555019
Benjamin Venelle|https://doi.org/10.1007/978-0-387-39940-9_1000
Benjamin Venelle|https://doi.org/10.1007/978-0-387-39940-9_1481
Özalp Babaoglu|https://doi.org/10.1007/978-3-319-61949-1_31
Özalp Babaoglu|https://doi.org/10.1007/978-1-4614-8265-9_410
Özalp Babaoglu|https://doi.org/10.1145/3284869.3284917
Özalp Babaoglu|http://studia.complexica.net/index.php?option=com_content&view=article&id=216%3Aanalyse-structurelle-des-champs-de-capacite-daction-dans-les-organisations-sociales-outils-analytiques-pour-la-caracterisation-de-la-cooperation-pp-98-128
Julien Haillot|http://studia.complexica.net/index.php?option=com_content&view=article&id=250%3Acombining-the-power-of-data-mining-with-expert-system-for-efficiently-personalize-speech-therapy-pp-50-64
Julien Haillot|https://d-nb.info/969624166
Antoni Buades|Multiple Perspectives on Semantic Issues (Panel)._1995
Krassimir T. Atanassov|https://doi.org/10.1007/978-3-030-81412-0
Krassimir T. Atanassov|https://doi.org/10.1007/978-3-658-36702-2
Krassimir T. Atanassov|https://doi.org/10.1007/978-3-030-88350-8
Krassimir T. Atanassov|https://doi.org/10.1007/978-981-16-3420-8
Krassimir T. Atanassov|https://doi.org/10.1016/j.eswax.2020.100024
Abdullah Alghamdi|https://doi.org/10.1007/978-0-387-39940-9_754
Abdullah Alghamdi|https://doi.org/10.1145/3411170.3411236
Abdullah Alghamdi|https://doi.org/10.1007/978-1-4614-8265-9_200
Abdullah Alghamdi|https://doi.org/10.1007/978-3-319-94141-7
Yuichiro Anzai|https://doi.org/10.1007/978-1-4614-8806-4_40
Yuichiro Anzai|https://doi.org/10.1007/978-1-4614-8265-9_80803
Yuichiro Anzai|https://doi.org/10.1109/NOTERE.2011.5957973
Yuichiro Anzai|http://studia.complexica.net/index.php?option=com_content&view=article&id=122
J. Christopher Westland|https://doi.org/10.1007/978-3-540-30468-5_10
Mariá C. V. Nascimento|https://doi.org/10.1007/978-3-030-46736-4
Mariá C. V. Nascimento|https://doi.org/10.1007/978-1-4614-8265-9_80740
Mariá C. V. Nascimento|https://doi.org/10.1109/NOTERE.2011.5957981
Mariá C. V. Nascimento|https://doi.org/10.1007/978-3-030-02468-0
Mariá C. V. Nascimento|https://doi.org/10.1007/978-3-030-67357-4
Ebtisam Amar|https://doi.org/10.1007/978-3-030-94281-6
Ebtisam Amar|https://doi.org/10.1007/978-1-4842-2784-8
Ebtisam Amar|https://doi.org/10.1007/978-981-15-2770-8
Ebtisam Amar|https://doi.org/10.1007/978-1-4614-8265-9_5046
Markus Schedl|https://doi.org/10.1007/3-540-60941-5
JinRong Wang 0001|https://doi.org/10.1007/978-1-4614-8265-9_1373
JinRong Wang 0001|https://doi.org/10.1007/978-0-387-39940-9_536
JinRong Wang 0001|https://doi.org/10.1007/978-1-4614-8265-9_793
JinRong Wang 0001|https://doi.org/10.1007/978-3-662-43505-2_7
JinRong Wang 0001|https://doi.org/10.1007/978-3-030-88132-0
Naveen Srinivasan|https://doi.org/10.1109/NOTERE.2016.7745825
Naveen Srinivasan|https://doi.org/10.1007/978-3-030-32072-0
Michael Gillmann|https://doi.org/10.1007/978-3-319-74778-1
Michael Gillmann|https://doi.org/10.4108/icst.valuetools.2014.258172
Václav Rajlich|https://doi.org/10.1007/978-3-662-58664-8_4
Václav Rajlich|https://doi.org/10.1007/3-540-46440-9
Václav Rajlich|https://doi.org/10.1007/978-3-662-43505-2_81
Jack K. Hale|https://doi.org/10.1145/3342428.3342652
Roberto García 0001|https://doi.org/10.1007/978-1-4614-8806-4_55
Roberto García 0001|https://doi.org/10.1145/1416729.1416770
Roberto García 0001|https://doi.org/10.1007/978-3-662-62308-4_1
Roberto García 0001|http://studia.complexica.net/index.php?option=com_content&view=article&id=149
Roberto García 0001|https://doi.org/10.1007/978-3-662-45947-8_5
Sparsh Mittal|https://doi.org/10.1007/978-3-319-60660-6
Sparsh Mittal|https://doi.org/10.1007/978-3-662-56266-6_6
Sparsh Mittal|https://doi.org/10.1007/978-1-4614-8265-9_570
Sparsh Mittal|https://doi.org/10.1007/978-3-662-64553-6_5
Manfred A. Jeusfeld|https://doi.org/10.1007/s11280-007-0023-z
Amira Meharouech|https://doi.org/10.1007/978-981-16-4859-5
Amira Meharouech|https://doi.org/10.1007/978-3-030-58896-0
Amira Meharouech|https://doi.org/10.1007/978-3-658-29580-6
Amira Meharouech|https://doi.org/10.1007/978-3-662-58384-5_4
Amira Meharouech|https://doi.org/10.1007/978-3-030-96009-4
Alexandre A. B. Lima|https://doi.org/10.1007/978-1-4614-8265-9_938
Irene T. P. Vanderfeesten|https://doi.org/10.1007/978-1-4614-8265-9_80780
Irene T. P. Vanderfeesten|https://doi.org/10.1007/3-540-46618-5
Irene T. P. Vanderfeesten|https://doi.org/10.1007/978-3-031-06011-3
Matthew O. Ward|http://www.dr.hut-verlag.de/978-3-8439-4205-8.html
Matthew O. Ward|https://doi.org/10.1145/3342428.3342677
Matthew O. Ward|https://doi.org/10.1007/978-3-030-02161-0
Matthew O. Ward|https://doi.org/10.1007/978-981-33-4882-0
Bjørn N. Freeman-Benson|https://doi.org/10.1007/978-3-642-40069-8_3
Bjørn N. Freeman-Benson|https://doi.org/10.1007/978-1-4614-8265-9_1486
Shubhashis Sengupta|https://doi.org/10.1007/978-3-662-45947-8_4
Yun Shen|https://doi.org/10.1007/978-1-4614-8265-9_1346
Yun Shen|https://doi.org/10.1007/978-0-387-39940-9_556
Michele Bezzi|https://doi.org/10.1109/NOTERE.2015.7293476
Michele Bezzi|https://doi.org/10.1007/978-3-642-03722-1_2
Michele Bezzi|Elaboration of Attainability Region Boundaries in The Model of Extreme Intermediate States._2011
Russell Martin|https://doi.org/10.1007/978-3-642-37574-3_8
Russell Martin|https://doi.org/10.1007/978-1-4614-8265-9_319
Russell Martin|https://doi.org/10.1007/978-1-4614-8265-9_445
Russell Martin|Learning Agents for Cooperative Hyperinformation Systems._1993
Russell Martin|https://doi.org/10.1007/978-3-642-41221-9_3
Christiane Feder|https://doi.org/10.1007/978-0-387-39940-9_270
Christiane Feder|https://doi.org/10.1504/IJTMCC.2017.10010539
Christiane Feder|https://doi.org/10.1007/978-3-540-68998-0
Kevin S. Beyer|https://doi.org/10.1007/978-3-319-95504-9_20
Kevin S. Beyer|https://doi.org/10.1145/3342428.3343032
Kevin S. Beyer|https://doi.org/10.1007/978-3-662-43505-2_45
Kevin S. Beyer|https://doi.org/10.1007/978-0-387-39940-9_886
Kevin S. Beyer|https://d-nb.info/987814362
Wijnand Derks|https://doi.org/10.1007/978-3-662-43505-2_33
Wijnand Derks|https://doi.org/10.1007/978-981-13-5880-7
Wijnand Derks|https://doi.org/10.1007/3-540-44751-2_11
Wijnand Derks|http://biaa.eu/-upload/BIAA47.pdf
Niranjan Suri|https://doi.org/10.1007/978-981-13-2303-4
Niranjan Suri|https://doi.org/10.1007/978-3-319-61949-1_4
Niranjan Suri|https://doi.org/10.1007/978-1-4614-8806-4_8
Niranjan Suri|https://doi.org/10.1007/978-1-4939-2092-1_30
Niranjan Suri|http://biaa.eu/-upload/articleno1042.pdf
David Toman|https://doi.org/10.1109/COOPIS.1997.613808
Dimitrios Tsoumakos|https://doi.org/10.1007/978-1-4614-8265-9_113
Dimitrios Tsoumakos|https://doi.org/10.1007/978-1-4614-8265-9_80660
Claudia Bauzer Medeiros|https://doi.org/10.1145/3284869.3284896
