keyword;pubID
Agent-Based;https://doi.org/10.1007/978-1-4614-8806-4_61
Agent-Based;https://doi.org/10.1109/COOPIS.1997.613814
Agent-Based;https://doi.org/10.1007/b94069
Agent-Based;https://doi.org/10.1007/b95170
Agent-Based;https://doi.org/10.1007/978-3-030-98816-6
Agent-Based;http://studia.complexica.net/index.php?option=com_content&view=article&id=74
Agents;https://doi.org/10.1007/978-1-4614-8806-4_29
Agents;https://doi.org/10.1007/3-540-44751-2_9
Agents;Learning Agents for Cooperative Hyperinformation Systems._1993
Agents;https://doi.org/10.1007/3-540-36124-3_9
Agents;https://doi.org/10.1109/COOPIS.1999.792146
Agents;https://doi.org/10.1007/10722620_14
Agents;https://doi.org/10.1007/978-3-540-39964-3_10
Agents;https://doi.org/10.1109/COOPIS.1998.706190
Agents;https://doi.org/10.1007/978-3-540-30468-5_25
Agents;https://doi.org/10.1007/978-3-540-30468-5_18
Agents;https://doi.org/10.1109/COOPIS.1997.613802
Agents;https://doi.org/10.1007/BFb0017806
Agents;https://doi.org/10.1007/978-3-642-22580-2
Agents;https://doi.org/10.1007/978-3-658-27742-0
Agents;https://doi.org/10.1007/3-540-44600-1
Ambiguity;https://doi.org/10.1007/BFb0021059
architecture;https://d-nb.info/870741942
architecture;https://d-nb.info/98882356X
architecture;https://doi.org/10.1109/NOTERE.2015.7293516
architecture;https://doi.org/10.1145/1416729.1416770
architecture;http://editions-rnti.fr/?inprocid=1001873
architecture;https://doi.org/10.1109/NOTERE.2010.5536585
architecture;https://doi.org/10.1145/1416729.1416771
architecture;https://doi.org/10.1109/NOTERE.2015.7293481
architecture;https://doi.org/10.1145/1416729.1416742
Architectures;https://doi.org/10.1007/978-3-662-43505-2_36
Architectures;https://doi.org/10.1007/978-0-387-39940-9_625
Architectures;https://doi.org/10.1007/3-540-10274-4
Architectures;https://doi.org/10.1007/978-981-10-6238-4
Architectures;https://doi.org/10.1007/978-3-030-85836-0
Architectures;https://doi.org/10.1007/978-3-662-10876-5
Architectures;https://doi.org/10.1007/978-3-642-55049-2
Architectures;https://doi.org/10.1007/978-3-030-36899-9
Architectures;https://doi.org/10.1007/3-540-60580-0
Architectures;https://doi.org/10.1007/978-3-658-12742-8
Assessment;https://doi.org/10.1007/978-3-319-76111-4_7
Assessment;https://doi.org/10.1007/b137376
Assessment;https://doi.org/10.1007/978-3-658-15971-9
Assessment;https://doi.org/10.1007/978-3-658-12415-1
Assessment;https://doi.org/10.1007/978-981-15-7764-2
Assessment;https://doi.org/10.1007/978-3-662-62308-4_4
Assessment;https://doi.org/10.1007/978-3-662-56266-6_6
authentication;https://doi.org/10.1109/NOTERE.2016.7745824
authentication;https://doi.org/10.1109/NOTERE.2016.7745828
authentication;https://doi.org/10.1109/NOTERE.2015.7293497
authentication;https://doi.org/10.1504/IJTMCC.2014.063273
authentication;https://doi.org/10.1504/IJTMCC.2018.095609
authentication;https://doi.org/10.1504/IJTMCC.2014.067304
Bayesian;https://doi.org/10.1007/978-0-387-39940-9_556
Bayesian;https://doi.org/10.1145/3411170.3411243
Bayesian;https://doi.org/10.1007/978-1-4757-4286-2
Bayesian;https://doi.org/10.1007/978-3-658-32594-7
Bayesian;https://doi.org/10.1007/978-3-662-62386-2_6
Biometric;https://doi.org/10.1007/978-3-662-45947-8_5
classification;https://doi.org/10.1145/1416729.1416741
classification;https://doi.org/10.1145/3284869.3284930
classification;https://doi.org/10.1016/j.eswax.2019.100001
Client;https://doi.org/10.1007/978-3-540-39964-3_75
Client;https://doi.org/10.1109/COOPIS.1998.706198
Client;https://doi.org/10.1007/978-3-319-55483-9
cluster;https://doi.org/10.1109/NOTERE.2010.5536798
Complexity;https://doi.org/10.1007/978-1-4614-8265-9_1244
Complexity;https://doi.org/10.1007/978-0-387-39940-9_1244
Complexity;https://doi.org/10.1007/3-540-45303-2
Complexity;https://doi.org/10.1007/3-540-28520-2
Complexity;https://doi.org/10.1007/978-1-4612-0333-9
Complexity;https://doi.org/10.1007/978-3-540-38885-2
Complexity;https://doi.org/10.1007/3-540-44545-5
Complexity;https://doi.org/10.1007/3-540-60580-0
Complexity;https://doi.org/10.1007/978-3-662-53416-8_3
Consistency;https://doi.org/10.1007/978-1-4614-8265-9_78
Consistency;https://doi.org/10.1145/1416729.1416788
Consistency;https://doi.org/10.1007/978-3-662-55947-5_3
Content-Based;https://doi.org/10.1007/978-1-4899-7637-6_4
Content-Based;https://doi.org/10.1007/978-1-4614-8265-9_295
Content-Based;https://doi.org/10.1007/978-1-4614-8265-9_1027
Content-Based;https://doi.org/10.1007/978-0-387-39940-9_1210
Content-Based;https://doi.org/10.1007/978-1-4614-8265-9_1210
Content-Based;https://doi.org/10.1007/978-3-540-30468-5_24
Content-Based;https://doi.org/10.1007/3-540-44751-2_17
Content-Based;https://doi.org/10.1007/978-3-540-30469-2_44
Content-Based;https://doi.org/10.1007/978-981-10-6759-4
Continuous;https://tel.archives-ouvertes.fr/tel-01468781
Continuous;https://doi.org/10.1007/978-0-387-39940-9_1465
Continuous;https://doi.org/10.1007/978-1-4614-8265-9_1465
Continuous;https://doi.org/10.1007/978-1-4614-8265-9_84
Continuous;https://doi.org/10.1007/978-3-031-17834-4_5
Continuous;https://doi.org/10.1007/978-3-658-06518-8
Continuous;https://doi.org/10.1007/978-3-030-54738-7
Continuous;https://doi.org/10.1007/978-1-4842-2716-9
Continuous;https://doi.org/10.1007/978-3-662-46485-4_4
Continuous;https://doi.org/10.1007/978-3-662-47804-2_5
Continuous;https://doi.org/10.1007/978-3-662-58664-8_2
Continuous;http://studia.complexica.net/index.php?option=com_content&view=article&id=83
control;https://doi.org/10.1504/IJTMCC.2013.053278
Data;https://nbn-resolving.org/urn:nbn:de:gbv:7-11858/00-1735-0000-002E-E446-7-5
Data;https://doi.org/10.1007/978-1-4939-2092-1_45
Data;https://doi.org/10.1007/978-3-319-98161-1_10
Data;https://doi.org/10.1007/978-1-4939-2092-1_43
Data;https://doi.org/10.1007/978-3-319-95504-9_12
Data;https://doi.org/10.1007/978-1-4939-2092-1_37
Data;https://doi.org/10.1007/978-1-4939-2092-1_32
Data;https://doi.org/10.1007/978-1-4939-2092-1_23
Data;https://doi.org/10.1007/978-1-4939-2092-1_28
Data;https://doi.org/10.1007/978-1-4939-2092-1_21
Data;https://doi.org/10.1007/978-1-4939-2092-1_31
Data;https://doi.org/10.1007/978-1-4939-2092-1_7
Data;https://doi.org/10.1007/978-1-4939-2092-1_6
Data;https://doi.org/10.1007/978-1-4939-2092-1_24
Data;https://doi.org/10.1007/978-3-319-95504-9_28
Data;https://doi.org/10.1007/978-3-319-95504-9_1
Data;https://doi.org/10.1007/978-3-319-98161-1_11
Data;https://doi.org/10.1007/978-1-4939-2092-1_14
Data;https://doi.org/10.1007/978-1-4939-2092-1_41
Data;https://doi.org/10.1007/978-1-4939-2092-1_40
Data;https://doi.org/10.1007/978-1-4939-2092-1_3
