author_name|id|author_order
Michael A. Curth|https://d-nb.info/891654135|first
Eberhard E. Wedekind|https://d-nb.info/880936800|first
Peter F. Tropschuh|https://d-nb.info/890277257|first
Jan Sbresny|https://d-nb.info/953963667|first
Detlef F. Pape|https://d-nb.info/900307455|first
Veronika Schaeffler|https://d-nb.info/944429890|first
Uwe Dräger|https://d-nb.info/943539935|first
Helmut Degen|https://d-nb.info/95720602X|first
Gerhard Rigoll|https://d-nb.info/910924112|first
Christian Bierwirth|https://d-nb.info/931740096|first
Kamill Panitzek|https://www.grin.com/document/342295|first
Joachim Weickert|https://d-nb.info/952577437|first
Clino Vallone|https://d-nb.info/911214143|first
Georg Schneider 0002|https://d-nb.info/956598889|first
Evelina Koycheva|https://d-nb.info/1028143168|first
Regina Fischer 0001|https://d-nb.info/94263554X|first
Marlies Rogalski|https://d-nb.info/94263554X|last
Norbert Drescher|https://d-nb.info/900263938|first
Guido Wirtz|https://d-nb.info/953295192|first
Franziska Klügl|https://d-nb.info/96173972X|first
Thomas Pötsch|https://d-nb.info/1103689096|first
Dietrich Kuske|https://d-nb.info/961225726|first
Hagen Reuter|https://d-nb.info/944884962|first
Ingo Engert-Oostingh|https://d-nb.info/1096344599|first
Claudia Helena Breitfuss-Horner|https://d-nb.info/1096344599|middle
Fritz Schweiger|https://d-nb.info/1096344599|last
Christoph Knieke|http://www.dr.hut-verlag.de/978-3-8439-4205-8.html|first
Ulrike Reiner|https://d-nb.info/920167926|first
Markus Lohrey|https://d-nb.info/968928331|first
Karin Dollhausen|https://d-nb.info/949388432|first
Eva Köhl|https://d-nb.info/944058914|first
Martin Käppner|https://d-nb.info/943235391|first
Günter Wohlers|https://d-nb.info/950243531|first
Frank Ohlhaver|https://d-nb.info/945700849|first
Rolf-Jürgen Schlenkrich|https://d-nb.info/943977541|first
Torbjørn Nordgård|https://d-nb.info/930298241|first
Eberhard Kurz|https://d-nb.info/948153075|first
Wolfgang Roßmann|https://d-nb.info/881459763|first
Johannes Hund|https://www.svh-verlag.de|first
Andreas Niekler|https://d-nb.info/1124697330|first
Harald B. Karcher|https://d-nb.info/861004981|first
Peter Weber|https://d-nb.info/911388761|first
Leo Pfefferer|https://d-nb.info/1196226806|first
Julia Sarah Hagel|https://opus4.kobv.de/opus4-ku-eichstaett/frontdoor/index/index/docId/628|first
Wolfgang Lehner|https://d-nb.info/958035903|first
Sandra Schulz|https://d-nb.info/1198243554|first
Peter Raith|https://d-nb.info/943683882|first
Mario Kubek|https://d-nb.info/1065399049|first
Frank Victor|https://d-nb.info/920293549|first
Maria Semenyak|https://d-nb.info/1023542331|first
Klaus Möller|https://d-nb.info/871285371|first
Helmut Hansmaier|https://d-nb.info/930581113|first
Thomas Stahs|https://d-nb.info/946948011|first
Ralf Müller|https://d-nb.info/95369920X|first
Michael Koch 0001|https://d-nb.info/95011958X|first
Hajo Drott|https://d-nb.info/954828550|first
Hua-Wei Shen|https://d-nb.info/1023448033|first
Brigitte Werners|https://d-nb.info/931483115|first
Carlotta Piscopo|https://d-nb.info/1027422780|first
Georg Rainer Hofmann|https://d-nb.info/920349374|first
Werner Sinzig|https://d-nb.info/900422114|first
Ralf Gutsche|https://d-nb.info/942327977|first
Andreas Diener|https://d-nb.info/870741942|first
Jörg M. Haake|https://d-nb.info/94988653X|first
Simone Pribbenow|https://d-nb.info/930731808|first
Rainer Siebenhaar|https://d-nb.info/1195724608|first
Thomas Köhler|https://d-nb.info/967071402|first
Angelika Glöckner-Rist|https://d-nb.info/930101758|first
Heike Stach|https://d-nb.info/960448683|first
Wei Li 0006|https://d-nb.info/921006691|first
Lutz-Peter Kurdelski|https://d-nb.info/950557560|first
Sebastian Schmitz|https://d-nb.info/1058886541|first
Christian Prehofer|https://d-nb.info/952799111|first
Rainer Knauf|https://d-nb.info/930181891|first
Waltraud Häckl|https://d-nb.info/930279948|first
Asarnusch Rashid|https://nbn-resolving.org/urn:nbn:de:0072-287480|first
Yining Li|https://d-nb.info/1065957440|first
Gereon Schüller|http://www.epubli.de/shop/isbn/9783750265387|first
Christian Hartmann 0001|http://www.dr.hut-verlag.de/978-3-8439-2403-0.html|first
Joachim F. Schreiber|https://d-nb.info/1195796420|first
Christine Schneider|https://d-nb.info/850551595|first
Reinhard Möller 0001|https://d-nb.info/94681256X|first
Dominik Herrmann|https://d-nb.info/109158480X|first
Anne Koziolek|https://nbn-resolving.org/urn:nbn:de:0072-323422|first
Thea Radüntz|http://edoc.hu-berlin.de/18452/23979|first
Annejet P. Meijler|https://d-nb.info/871441985|first
Julia Steube|https://d-nb.info/1053805268|first
Michael Bruns|https://d-nb.info/900635665|first
Florian Jotzo|https://d-nb.info/1174693118|first
