name|university
Gilles Guette|Goethe University Frankfurt
Renaud Pacalet|University of Oslo
Hak-Keung Lam|University of Kansas
Sebastian J. F. Fudickar|Cornell University
Cristiana Amza|Oregon State University
Afshan Nourizadeh|Colorado School of Mines
Willem-Jan van den Heuvel|University of Melbourne
Arthur Foltz|University of Michigan Ann Arbor
Luis M. Camarinha-Matos|University of Reading
Sebastian Görg|Umeå University
Dominique Borrione|King's College London
Stefan Gudenkauf|Maastricht University
Noura Faci|Hiroshima University
Alexander Schill|Kumamoto University
Françoise Fabret|Sogang University
Wei Ren 0001|University of Twente
Yoshiaki Sugiyama|Vrije Universiteit Brussel
Moulay Driss Mechaoui|University of California San Francisco
Werner Emde|George Washington University
Geoffrey Simmons|Lehigh University
Benjamin Venelle|Purdue University West Lafayette
Özalp Babaoglu|Federal University of Rio de Janeiro
Julien Haillot|Peking University
Antoni Buades|University of Stuttgart
Krassimir T. Atanassov|Chonbuk National University
Abdullah Alghamdi|Harbin Institute of Technology
Yuichiro Anzai|York University
J. Christopher Westland|George Washington University
Mariá C. V. Nascimento|Sapienza University of Rome
Ebtisam Amar|University of California Riverside
Markus Schedl|Chalmers University of Technology
JinRong Wang 0001|Tufts University
Naveen Srinivasan|Albert Ludwig University of Freiburg
Michael Gillmann|Innsbruck Medical University
Václav Rajlich|University of Copenhagen
Jack K. Hale|Stockholm University
Roberto García 0001|Western University (The University of Western Ontario)
Sparsh Mittal|University of Rome Tor Vergata
Manfred A. Jeusfeld|University of Virginia
Amira Meharouech|University of Campinas
Alexandre A. B. Lima|University of Vermont
Irene T. P. Vanderfeesten|Université catholique de Louvain
Matthew O. Ward|National Autonomous University of Mexico
Bjørn N. Freeman-Benson|Beijing Normal University
Shubhashis Sengupta|University of Chile
Yun Shen|University of Iowa
Michele Bezzi|Oregon Health & Science University
Russell Martin|Hiroshima University
Christiane Feder|Boston University
Kevin S. Beyer|Otto von Guericke University Magdeburg
Wijnand Derks|Complutense University of Madrid
Niranjan Suri|University of Waterloo
David Toman|Iowa State University
Dimitrios Tsoumakos|University of Bordeaux II
Claudia Bauzer Medeiros|University of Vermont
Kurt Mehlhorn|University of Texas Health Science Center at San Antonio
Zoran Majkic|University of South Florida   Tampa
Jean-Michel Knippel|University of Glasgow
Muhammad Usman Shahid Khan|Kyung Hee University
N. Hamali|McMaster University
Hamo Hayami|University of Delaware
Eric Dubois 0001|University at Albany SUNY
Nabil Mesbahi|University of Ferrara
Daniel de Oliveira 0001|Imperial College London
Tassadit Bouadi|Hokkaido University
Travell Perkins|Middle East Technical University
Odysseas Papapetrou|Karlsruhe Institute of Technology
Christian Chiarcos|Catholic University of the Sacred Heart
Asya Willerval|University of Regensburg
Ramón Alvarez-Valdés|University of Missouri–Columbia
